position	mean_phred_score	sample	read_pair	stage
22	30.84324170002901	2C	2	cleaned
27	32.46228775269573	2C	2	cleaned
32	31.354600519464462	2C	2	cleaned
37	30.753751277300797	2C	2	cleaned
42	31.36295043146111	2C	2	cleaned
47	32.28537479807562	2C	2	cleaned
52	32.393683515176704	2C	2	cleaned
57	32.16917515431312	2C	2	cleaned
62	32.98545012360863	2C	2	cleaned
67	32.15775371557687	2C	2	cleaned
72	33.16266138964933	2C	2	cleaned
77	32.5255945350341	2C	2	cleaned
82	33.20911199666957	2C	2	cleaned
87	33.65212255804962	2C	2	cleaned
92	31.56061408311748	2C	2	cleaned
97	31.91281359803393	2C	2	cleaned
102	33.716009683928505	2C	2	cleaned
107	32.76748239293082	2C	2	cleaned
112	31.10932107558714	2C	2	cleaned
117	29.302563713263066	2C	2	cleaned
122	28.792282744833937	2C	2	cleaned
127	29.85359952358789	2C	2	cleaned
132	28.732462462139864	2C	2	cleaned
137	29.01616050102795	2C	2	cleaned
142	27.805159368995902	2C	2	cleaned
147	27.592052737938825	2C	2	cleaned
150	27.320264199761088	2C	2	cleaned
1	37.1187214684495	6A	1	cleaned
2	41.08923568329091	6A	1	cleaned
3	41.68545598439936	6A	1	cleaned
4	41.96867568303242	6A	1	cleaned
5	33.35999472040912	6A	1	cleaned
6	30.28343069141563	6A	1	cleaned
7	30.111968996265496	6A	1	cleaned
8	29.87145356381676	6A	1	cleaned
9	37.74975283307993	6A	1	cleaned
12	38.27234409967967	6A	1	cleaned
17	34.17797536410669	6A	1	cleaned
22	33.49226703649306	6A	1	cleaned
27	33.964688624021974	6A	1	cleaned
32	32.58144159546468	6A	1	cleaned
37	23.787326822856993	6A	1	cleaned
42	28.11111177353215	6A	1	cleaned
47	34.24170733454911	6A	1	cleaned
52	34.481126244287125	6A	1	cleaned
57	28.122607101736243	6A	1	cleaned
62	31.58620150711324	6A	1	cleaned
67	30.360969288827835	6A	1	cleaned
72	33.339973007845046	6A	1	cleaned
77	30.771162328737784	6A	1	cleaned
82	36.036313291096576	6A	1	cleaned
87	27.625910691940117	6A	1	cleaned
92	25.202868262050135	6A	1	cleaned
97	28.066504371562637	6A	1	cleaned
102	32.769286915692696	6A	1	cleaned
107	34.7855957070124	6A	1	cleaned
112	30.23304031807562	6A	1	cleaned
117	27.71516234443745	6A	1	cleaned
122	27.648786720931376	6A	1	cleaned
127	26.738529114265724	6A	1	cleaned
132	24.937540429410838	6A	1	cleaned
137	25.846795787879216	6A	1	cleaned
142	27.897364508540914	6A	1	cleaned
147	27.04922253803025	6A	1	cleaned
150	29.616341925261626	6A	1	cleaned
1	35.74197022458736	6A	2	cleaned
2	33.88464145817157	6A	2	cleaned
3	33.90117526981102	6A	2	cleaned
4	34.04247683327541	6A	2	cleaned
5	33.33696024507909	6A	2	cleaned
6	33.09355352678295	6A	2	cleaned
7	29.72825977863989	6A	2	cleaned
8	29.090137814297925	6A	2	cleaned
9	36.639384288137755	6A	2	cleaned
12	32.937655484964395	6A	2	cleaned
17	29.369800386253996	6A	2	cleaned
22	30.99922102232456	6A	2	cleaned
27	32.58962858962151	6A	2	cleaned
