library,sample,country,city,date,dataset,bioproject
ERR2683263,ERR2683263,Hungary,Budapest,2017-06-08,Munk 2022,PRJEB27621
ERR2683264,ERR2683264,Saudi Arabia,Thuwal,2017-06-05,Munk 2022,PRJEB27621
ERR2683265,ERR2683265,Saint Lucia,Castries,2017-06-22,Munk 2022,PRJEB27621
ERR2683266,ERR2683266,Saint Lucia,Gros Islet,2017-06-22,Munk 2022,PRJEB27621
ERR2683267,ERR2683267,India,Kochi,2017-06-13,Munk 2022,PRJEB27621
ERR2683268,ERR2683268,Togo,Lome,2017-06-14,Munk 2022,PRJEB27621
ERR2683269,ERR2683269,Cote d'Ivoire,Abidjan,2017-06-13,Munk 2022,PRJEB27621
ERR2683270,ERR2683270,Nigeria,Lagos,2017-06-07,Munk 2022,PRJEB27621
ERR2683271,ERR2683271,Cote d'Ivoire,Bwake,2017-06-12,Munk 2022,PRJEB27621
ERR2683272,ERR2683272,Botswana,Gaborone,2017-06-09,Munk 2022,PRJEB27621
ERR2683273,ERR2683273,Taiwan,Taipei,2017-06-06,Munk 2022,PRJEB27621
ERR2683274,ERR2683274,USA,"Seattle, WA",2017-06-13,Munk 2022,PRJEB27621
ERR2683275,ERR2683275,USA,Woodinville WA,2017-06-19,Munk 2022,PRJEB27621
ERR2683276,ERR2683276,Ecuador,Quito,2017-12-14,Munk 2022,PRJEB27621
ERR2683277,ERR2683277,Peru,Piura City,2017-06-07,Munk 2022,PRJEB27621
ERR2683278,ERR2683278,Ecuador,Guayaquil,2017-06-14,Munk 2022,PRJEB27621
ERR2683279,ERR2683279,Ecuador,Cuenca,2017-06-09,Munk 2022,PRJEB27621
ERR2683280,ERR2683280,Cote d'Ivoire,Bwake,2017-06-12,Munk 2022,PRJEB27621
ERR2683525,ERR2683525,Denmark,Lyngby,2017-01-01,Munk 2022,PRJEB27621
ERR2683526,ERR2683526,Denmark,Lyngby,2017-01-01,Munk 2022,PRJEB27621
ERR2683527,ERR2683527,Denmark,Lyngby,2017-01-01,Munk 2022,PRJEB27621
ERR2683528,ERR2683528,Denmark,Lyngby,2017-01-01,Munk 2022,PRJEB27621
ERR2683529,ERR2683529,Denmark,Lyngby,2017-01-01,Munk 2022,PRJEB27621
ERR2683530,ERR2683530,Denmark,Lyngby,2017-01-01,Munk 2022,PRJEB27621
ERR2683531,ERR2683531,Denmark,Lyngby,2017-01-01,Munk 2022,PRJEB27621
ERR2683532,ERR2683532,Denmark,Lyngby,2017-01-01,Munk 2022,PRJEB27621
ERR2683533,ERR2683533,Denmark,Lyngby,2017-01-01,Munk 2022,PRJEB27621
ERR2683534,ERR2683534,Denmark,Lyngby,2017-01-01,Munk 2022,PRJEB27621
ERR2683535,ERR2683535,Denmark,Lyngby,2017-01-01,Munk 2022,PRJEB27621
ERR2683536,ERR2683536,Denmark,Lyngby,2017-01-01,Munk 2022,PRJEB27621
ERR2683537,ERR2683537,Denmark,Lyngby,2017-01-01,Munk 2022,PRJEB27621
ERR2683538,ERR2683538,Denmark,Lyngby,2017-01-01,Munk 2022,PRJEB27621
ERR9833719,ERR9833719,Australia,Melbourne,2017-05-12,Munk 2022,PRJEB27621
ERR9834200,ERR9834200,China,Guangzhou,2017-06-16,Munk 2022,PRJEB27621
