library,sample_accession,sample
SRR18341118,SAMN26732562,HTP_7_8_2021
SRR18341119,SAMN26732561,HTP_7_29_2021
SRR18341120,SAMN26732560,HTP_7_22_2021
SRR18341121,SAMN26732559,HTP_7_15_2021
SRR18341122,SAMN26732558,HTP_7_13_2021
SRR18341123,SAMN26732557,HTP_7_1_2021
SRR18341124,SAMN26732458,ESC_11_30_20
SRR18341125,SAMN26732556,HTP_6_6_2021
SRR18341126,SAMN26732555,HTP_6_3_2021
SRR18341127,SAMN26732554,HTP_6_27_2021
SRR18341128,SAMN26732553,HTP_6_24_2021
SRR18341129,SAMN26732552,HTP_6_20_2021
SRR18341130,SAMN26732551,HTP_6_15_2021
SRR18341131,SAMN26732550,HTP_6_10_2021
SRR18341132,SAMN26732549,HTP_6_1_2021
SRR18341133,SAMN26732548,HTP_5_9_2021
SRR18341134,SAMN26732547,HTP_5_6_2021
SRR18341135,SAMN26732457,ESC_11_23_20
SRR18341136,SAMN26732448,ESC_1_18_21
SRR18341137,SAMN26732447,ESC_1_11_21
