position	pc_adapters	sample	adapter	read_pair	stage
36	0.1286491579836357	SRR8663599	polya	2	dedup
38	0.13325074401102524	SRR8663599	polya	2	dedup
40	0.13755153829121158	SRR8663599	polya	2	dedup
42	0.14181011618582556	SRR8663599	polya	2	dedup
44	0.1458787203453638	SRR8663599	polya	2	dedup
46	0.15012674414358468	SRR8663599	polya	2	dedup
48	0.1539367729414921	SRR8663599	polya	2	dedup
50	0.15743017884760666	SRR8663599	polya	2	dedup
52	0.16046448156062157	SRR8663599	polya	2	dedup
54	0.1634354596952779	SRR8663599	polya	2	dedup
56	0.16643810011911353	SRR8663599	polya	2	dedup
58	0.16935103072360785	SRR8663599	polya	2	dedup
60	0.17203177120745405	SRR8663599	polya	2	dedup
62	0.1746386330165486	SRR8663599	polya	2	dedup
64	0.17724549482564317	SRR8663599	polya	2	dedup
66	0.17974153862261022	SRR8663599	polya	2	dedup
68	0.18232729223891858	SRR8663599	polya	2	dedup
70	0.18487082946965455	SRR8663599	polya	2	dedup
72	0.18738270441121124	SRR8663599	polya	2	dedup
74	0.1896360039911371	SRR8663599	polya	2	dedup
76	0.19231146742678676	SRR8663599	polya	2	dedup
78	0.19445394899458512	SRR8663599	polya	2	dedup
80	0.1968338977312281	SRR8663599	polya	2	dedup
82	0.1989341629134541	SRR8663599	polya	2	dedup
84	0.201139969059611	SRR8663599	polya	2	dedup
86	0.20316635556708532	SRR8663599	polya	2	dedup
88	0.20517163388177345	SRR8663599	polya	2	dedup
90	0.2071030335217099	SRR8663599	polya	2	dedup
92	0.20894472334230502	SRR8663599	polya	2	dedup
94	0.21086556888584837	SRR8663599	polya	2	dedup
96	0.21269142756185386	SRR8663599	polya	2	dedup
98	0.21446979280409045	SRR8663599	polya	2	dedup
100	0.2160370761184651	SRR8663599	polya	2	dedup
102	0.21758325124005357	SRR8663599	polya	2	dedup
104	0.219129426361642	SRR8663599	polya	2	dedup
106	0.2205331211819237	SRR8663599	polya	2	dedup
108	0.22216900612285348	SRR8663599	polya	2	dedup
110	0.2234777140755973	SRR8663599	polya	2	dedup
112	0.22471254335358945	SRR8663599	polya	2	dedup
114	0.22568352022175422	SRR8663599	polya	2	dedup
116	0.22657534136697077	SRR8663599	polya	2	dedup
118	0.22738272974104257	SRR8663599	polya	2	dedup
120	0.2281373476331489	SRR8663599	polya	2	dedup
122	0.2289552901036138	SRR8663599	polya	2	dedup
124	0.22940383920032031	SRR8663599	polya	2	dedup
126	0.22974684733309594	SRR8663599	polya	2	dedup
128	0.23008985546587152	SRR8663599	polya	2	dedup
130	0.2302534439599645	SRR8663599	polya	2	dedup
132	0.23034843082750237	SRR8663599	polya	2	dedup
134	0.23037481606848512	SRR8663599	polya	2	dedup
136	0.2303853701648782	SRR8663599	polya	2	dedup
138	0.2303853701648782	SRR8663599	polya	2	dedup
