taxid	name
1623286	Casadabanvirus
1623287	D3likevirus
1623288	Halolikevirus
1623289	Dhillonvirus
1623290	Cecivirus
1623292	Omegalikevirus
1623293	Oshimavirus
1623295	Pegunavirus
1623297	E125virus
1623298	Phietalikevirus
1623299	Phifelvirus
1623300	Coetzeevirus
1623301	Reylikevirus
1623302	Sap6likevirus
1623303	Brussowvirus
1623304	Moineauvirus
1623305	Sk1virus
1623306	Timquatrovirus
1623307	Lwoffvirus
1623308	Wbetalikevirus
1623309	Xipdecavirus
1636617	Cp220likevirus
1636618	Cp8unalikevirus
1653394	Mammarenavirus
1653395	Reptarenavirus
1659770	Sakobuvirus
1678141	Orthohepevirus
1678142	Piscihepevirus
1714268	Alphasphaerolipovirus
1714269	Betasphaerolipovirus
1714270	Gammasphaerolipovirus
1720323	Bcep22likevirus
1720324	F116likevirus
1748295	Rosadnavirus
1755587	Sicinivirus
1755589	Kunsagivirus
1805626	Pithovirus
1857843	Kayvirus
1857844	P100virus
1857845	Okubovirus
1857846	Twortlikevirus
1857889	Silviavirus
1868215	Orthopneumovirus
1883068	Sclerotimonavirus
1884454	Socyvirus
1884455	Anphevirus
1884456	Arlivirus
1884457	Chengtivirus
1884458	Crustavirus
1884459	Wastrivirus
1885570	Chapparvovirus
1891713	Alphapolyomavirus
1891714	Betapolyomavirus
1891715	Deltapolyomavirus
1891716	Gammapolyomavirus
1892581	Ralernavirus
1910931	Agatevirus
1910951	Alpha3microvirus
1910952	G4microvirus
1910954	Phix174microvirus
1910991	Jerseylikevirus
1910992	K1gvirus
1910993	Cornellvirus
1911599	Alphacarmovirus
1911600	Betacarmovirus
1911601	Gammacarmovirus
1911602	Pelarspovirus
1911604	Alphapleolipovirus
1911605	Betapleolipovirus
1911606	Gammapleolipovirus
1911929	Bc431virus
1912143	Biquartavirus
1912144	Cd119virus
1912760	C5likevirus
1913605	Dichorhavirus
1913650	Cc31virus
1913651	Krischvirus
1913652	Mosigvirus
1913653	Gelderlandvirus
1913654	Gaprivervirus
1914165	Dhakavirus
1914293	Divavirus
1914295	Prunevirus
1914296	Chordovirus
1914299	Robigovirus
1914566	Limnipivirus
1914567	Potamipivirus
1914850	Certrevirus
1914851	Se1virus
1914852	V5virus
1915204	Albetovirus
1915205	Ap22virus
1917979	Aumaivirus
1917990	B4virus
1918010	Bastillevirus
1918013	Botybirnavirus
1918017	Cba181virus
1918522	Cba41virus
1918718	Cbastvirus
1918721	Cp51virus
1918725	Cvm10virus
1918728	Dyochipapillomavirus
1918730	Dyoomegapapillomavirus
1920492	Dyophipapillomavirus
1920494	Dyopsipapillomavirus
1920750	Ff47virus
1920753	G7cvirus
1920762	Lit1virus
1920771	Goravirus
1920774	Drulisvirus
1920860	Kp36virus
1920864	Rtpvirus
1920865	Tlsvirus
1920866	Rogue1virus
1921016	Nit1virus
1921117	Nonagvirus
1921122	Nonanavirus
1921125	Homburgvirus
1921184	Pagevirus
1921407	Pakpunavirus
1921431	Papanivirus
1921433	Platypuvirus
1921434	Psavirus
1921525	Kleczkowskavirus
1921544	Septima3virus
1921553	Seuratvirus
1921556	Sinaivirus
1921696	Mardecavirus
1921703	Sunshinevirus
1921704	Tegunavirus
1921707	Toursvirus
1921709	Slashvirus
1921772	Treisdeltapapillomavirus
1921776	Treisepsilonpapillomavirus
1921823	Treisetapapillomavirus
1922207	Treiszetapapillomavirus
1922209	Triatovirus
1922210	Vhmlvirus
1922241	Macronovirus
1922243	Sextaecvirus
1922327	Wphvirus
1922329	Enhodamvirus
1925779	Kpp10virus
1925802	Virtovirus
1932909	Dyotaupapillomavirus
1932911	Dyoupsilonpapillomavirus
1932924	Sputnikvirus
1941236	Gemykibivirus
1941238	Gemykolovirus
1972611	Hapavirus
1972682	Almendravirus
1977139	Fibrovirus
1977141	Habenivirus
1977142	Lineavirus
1977143	Saetivirus
1977144	Vespertiliovirus
1977632	Indivirus
1977635	Catovirus
1977636	Hokovirus
1977639	Klosneuvirus
1978532	Ledantevirus
1980420	Goukovirus
1980421	Phasivirus
1980442	Hantavirus
1980517	Nairovirus
1980533	Herbevirus
1980538	Orthophasmavirus
1980921	Mieseafarmvirus
1980922	Chiangmaivirus
1980928	Sep1virus
1980929	Seoulvirus
1980936	Marthavirus
1980937	Emdodecavirus
1980938	Msw3virus
1981157	Nona33virus
1981158	Diegovirus
1981159	Oslovirus
1982076	Korravirus
1982086	Laroyevirus
1982088	Mudcatvirus
1982091	Marvinvirus
1982095	Ab18virus
1982099	Amigovirus
1982101	Bernal13virus
1982104	Decurrovirus
1982106	Demosthenesvirus
1982111	Eiauvirus
1982113	Gaiavirus
1982150	Gilesvirus
1982152	Gordonvirus
1982218	Gordtnkvirus
1982220	Harrisonvirus
1982222	Jenstvirus
1982227	Jwxvirus
1982236	Kelleziovirus
1982239	Nipunavirus
1982244	Inhavirus
1982251	Pa6virus
1982355	Pamexvirus
1982359	Patiencevirus
1982367	Pepy6virus
1982370	Pis4avirus
1982372	Rdjlvirus
1982375	Rer2virus
1982554	Papyrusvirus
1982557	Smoothievirus
1982562	Soupsvirus
1982566	Tankvirus
1982569	Tin2virus
1982573	Titanvirus
1982576	Ea92virus
1982583	Cepunavirus
1982590	Kochitakasuvirus
1982594	Luz7virus
1982745	Woodruffvirus
1982748	Woesvirus
1982879	Camvirus
1982880	Likavirus
1982881	Arequatrovirus
1982897	Acadianvirus
1982898	Coopervirus
1982899	Pipefishvirus
1982900	Rosebushvirus
1983734	Fishburnevirus
1983735	Phayoncevirus
1983744	Bongovirus
1984773	Abouovirus
1984776	Agrican357virus
1984786	Elvirus
1984788	Jimmervirus
1984798	Perisivirus
1985181	Tsarbombavirus
1985292	Suspvirus
1985293	Ea214virus
1985303	Mooglevirus
1985325	Jd18virus
1985328	Kp15virus
1985329	Moonvirus
1985365	Gemyduguivirus
1985366	Gemygorvirus
1985367	Gemykrogvirus
1985368	Gemykroznavirus
1985369	Gemytondvirus
1985370	Gemyvongvirus
1985687	Curiovirus
1985692	Sripuvirus
1985709	Peropuvirus
1985711	Fri1virus
1985720	Kp32virus
1985733	Pradovirus
1986961	Ampivirus
1987146	Schmidvirus
1993858	Wildcatvirus
2003390	Harkavirus
2003394	Alphaendornavirus
2003395	Betaendornavirus
2003399	Dipartevirus
2003400	Equartevirus
2003401	Nesartevirus
2003403	Simartevirus
2005059	Cronusvirus
2005509	Centapoxvirus
2022640	Invictavirus
2022641	Nyfulvavirus
2022739	Alphatristromavirus
2022856	Blunervirus
2022857	Capulavirus
2025077	Rabovirus
2025078	Torchivirus
2034995	Grablovirus
2034997	Tilapinevirus
2034998	Vegasvirus
2049885	Vendettavirus
2060084	Pandoravirus
2094720	Tupanvirus
2136036	Carbovirus
2169532	Ag3virus
2169534	Limestonevirus
2169536	Cba120virus
2169569	Deltaflexivirus
2169575	Bovismacovirus
2169607	Hartmanivirus
2169608	Diatodnavirus
2169609	Kieseladnavirus
2169610	Protobacilladnavirus
2169611	Brujitavirus
2169612	Hawkeyevirus
2169613	Pbi1virus
2169614	Treisiotapapillomavirus
2169615	Treiskappapapillomavirus
2169616	Treisthetapapillomavirus
2169621	Limdunavirus
2169622	Una4virus
2169623	Eah2virus
2169624	Machinavirus
2169625	Svunavirus
2169635	Baxtervirus
2169636	Nymphadoravirus
2169637	Aalivirus
2169638	Bopivirus
2169639	Orivirus
2169640	Shanbavirus
2169641	Baltimorevirus
2169642	Jwalphavirus
2169643	Ithacavirus
2169644	Chipolycivirus
2169645	Hupolycivirus
2169646	Sopolycivirus
2169647	Alphaportoglobovirus
2169648	Bevemovirus
2169649	Roymovirus
2169650	Alefpapillomavirus
2169651	Anatolevirus
2169652	Attisvirus
2169653	Doucettevirus
2169654	Hendrixvirus
2169655	Pfr1virus
2169656	Saundersvirus
2169657	Trigintaduovirus
2169658	Wizardvirus
2169659	Cosmacovirus
2169660	Dragsmacovirus
2169661	Drosmacovirus
2169662	Huchismacovirus
2169663	Porprismacovirus
2169664	Bovispumavirus
2169665	Equispumavirus
2169666	Felispumavirus
2169667	Prosimiispumavirus
2169668	Simiispumavirus
2169669	Alphatectivirus
2169670	Betatectivirus
2219049	Husavirus
2219050	Fisavirus
2219051	Fesavirus
2219055	Posavirus
2499609	Muarterivirus
2499610	Alphaarterivirus
2499611	Lambdaarterivirus
2499612	Deltaarterivirus
2499613	Epsilonarterivirus
2499614	Etaarterivirus
2499615	Iotaarterivirus
2499616	Thetaarterivirus
2499617	Zetaarterivirus
2499674	Betaarterivirus
2499675	Gammaarterivirus
2499676	Kappaarterivirus
2501366	Loanvirus
2501367	Mobatvirus
2501368	Thottimvirus
2501412	Culannivirus
2501970	Shaspivirus
2501971	Striwavirus
2501972	Berhavirus
2501973	Orinovirus
2501974	Tapwovirus
2501975	Pidchovirus
2501976	Horwuvirus
2501977	Hudivirus
2501978	Hudovirus
2501979	Mobuvirus
2501981	Beidivirus
2501994	Shangavirus
2501995	Feravirus
2501996	Inshuvirus
2501997	Jonvirus
2501998	Wuhivirus
2507289	Turrinivirus
2507291	Mivirus
2507497	Yingvirus
2508211	Oncotshavirus
2508220	Bolenivirus
2508224	Alphamononivirus
2508230	Charybnivirus
2508231	Paguronivirus
2508241	Bostovirus
2508243	Infratovirus
2508244	Pregotovirus
2508245	Sectovirus
2508253	Yuyuevirus
2508256	Lincruvirus
2508258	Hubavirus
2509283	Wubeivirus
2509285	Wumivirus
2560082	Actinovirus
2560083	Agnathovirus
2560084	Ahduovirus
2560085	Ailurivirus
2560086	Alcyoneusvirus
2560087	Alphachrysovirus
2560088	Alphanemrhavirus
2560089	Alphaovalivirus
2560090	Anativirus
2560091	Antennavirus
2560092	Aphroditevirus
2560093	Aqualcavirus
2560094	Asteriusvirus
2560095	Avunavirus
2560096	Bantamvirus
2560097	Bavovirus
2560098	Beetrevirus
2560099	Bendigovirus
2560100	Betachrysovirus
2560101	Betterkatzvirus
2560102	Bifseptvirus
2560103	Bingvirus
2560104	Bjornvirus
2560105	Botoulivirus
2560106	Bowservirus
2560107	Britbratvirus
2560108	Brunovirus
2560109	Busanvirus
2560110	Caligrhavirus
2560111	Ceetrepovirus
2560112	Cetovirus
2560113	Chakrabartyvirus
2560115	Chunghsingvirus
2560116	Cimpunavirus
2560117	Cinunavirus
2560118	Coguvirus
2560119	Cultervirus
2560120	Decapodiridovirus
2560121	Delepquintavirus
2560122	Dismasvirus
2560123	Eclunavirus
2560124	Efquatrovirus
2560125	Eisenstarkvirus
2560126	Elerivirus
2560127	Emalynvirus
2560128	Eneladusvirus
2560129	Eyrevirus
2560130	Farahnazvirus
2560131	Ficleduovirus
2560132	Fipvunavirus
2560133	Flaumdravirus
2560134	Galaxyvirus
2560135	Galunavirus
2560136	Gammatectivirus
2560137	Gamtrevirus
2560138	Gesputvirus
2560139	Getseptimavirus
2560140	Ghobesvirus
2560141	Gofduovirus
2560142	Gorganvirus
2560143	Gorjumvirus
2560144	Gustavvirus
2560145	Hanrivervirus
2560146	Hedwigvirus
2560147	Holosalinivirus
2560148	Iapetusvirus
2560149	Ikedavirus
2560150	Ilzatvirus
2560151	Iodovirus
2560152	Ionavirus
2560153	Jasminevirus
